index,qid1,qid2,qid2_13_text,qid8_text,qid9_text,qid5,qid5_9_text,qid50,qid50_11_text,qid53_text,qid10_1,qid10_2,qid10_3,qid10_4,qid10_5,qid13,qid15_text,qid3,qid4,qid6,qid7,qid7_9_text,qid16,qid17,qid18,qid19_text,qid20,qid21,qid21_6_text,qid22_text,qid39,qid40_text,qid41_text,qid42_text,qid54_text,qid55_text,qid56,qid56_9_text,qid23,qid24_text,qid26,qid25_text,qid27_text,qid52,qid52_3_text,qid28_1,qid28_2,qid49_text,qid38_text,qid43_nps_group,qid43,qid44_text,qid58,qid59_text,q_unansweredpercentage,q_unansweredquestions,duration_secs
11,"Food Truck Festival,T-shirt or swag giveaways,UPBeat Spring Concert,Thwing Tuesday","Swag/giveaway events ,Major shows or performances (comedians, drone show, etc.) ,Sports/spectator events ",,Anything with animals,,"Free food/snacks,Socializing/meeting new people ,Live entertainment",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese)",,,10.0,,,,,Yes,,Weekday lunchtime (12–2pm),"Huge (300-600 people),Medium (30-80 people)",Either is fine,"Didn’t hear about it,Bad timing,Too crowded",,"Wednesday ,Thursday ,Friday ",Afternoon (12pm–4pm) ,Yes,Less time would likely not go to events,A week,"Email,Social media ,Posters/flyers ",,email,Sophomore,Nutritional Biochemistry,Washington DC,no,soccer games,no,"Sports games (Guardians, Cavs, Browns, Monsters),Food and market experiences (West Side Market, Little Italy, AsiaTown),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Yes,,No,,Events that allow friends to engage while meeting new people,,,M,L,,,Passive,7.0,,Ninja Creami,,0.175,"QID9,QID52,QID53,QID15,QID59,QID38,QID44",378.0
12,"Food Truck Festival,T-shirt or swag giveaways,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),Spring Comedian at Severance Hall","Food Festivals ,Swag/giveaway events ,Pop-up cafes (e.g., bakery, matcha) ",,More giveaways that arent just tshirts ,Springfest,"Free food/snacks,Swag (shirts, water bottles, etc.) ",,"Italian (pasta, pizza, gelato),Asian (Chinese, Japanese, Korean, Thai, etc.),Desserts/sweets focused",,Yytime,10.0,25.0,300.0,200.0,0.0,Yes,350.0,"Weekday lunchtime (12–2pm),Saturday afternoons ,Sunday afternoons ","Large (80-150 people) ,Medium (30-80 people)",Either is fine,"Too crowded,Didn’t interest me,Travel time",,"Tuesday ,Thursday ,Saturday ,Sunday",Afternoon (12pm–4pm) ,Yes,More avaliable in evening Would still be willing if really good,Two weeks or more,"Email,Social media ",,Email,Senior,Biochemistry ,Wisconsin US,Not particularly ,Not particularly ,Lunar new year,"Food and market experiences (West Side Market, Little Italy, AsiaTown),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Yes,,No,,Frequent events,,,S,S,,Nintendo switch 2,Passive,7.0,Better organization during events,Ninja Creami,Less short answer,0.025,QID52,401.0
13,"Food Truck Festival,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),Off-campus trips (e.g., Topgolf, NBA/Cavs game, Columbus trip),Thwing Tuesday","Food Festivals ,Pop-up cafes (e.g., bakery, matcha) ,Luncheons or mixers",,,,Free food/snacks,,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato),Indian/South Asian,Desserts/sweets focused",,,,,,,0.0,No,,"Weekday late afternoon (4–6pm) ,Weekday evening (after 6pm) ","Huge (300-600 people),Large (80-150 people) ",Either is fine,"Event cost,Didn’t interest me,Travel time",,"Monday,Tuesday ,Wednesday ,Thursday ,Friday ","Evening (4pm–8pm) ,Night (after 8pm)",Yes,,A week,"Email,Social media ",,Email Instagram CG,Senior,EE,Los Angeles CA,,,,"Sports games (Guardians, Cavs, Browns, Monsters),Food and market experiences (West Side Market, Little Italy, AsiaTown)",,Yes,,No,,,,,M,M,7.0,Anything that would be useful to me in the house or for school Or something food related,Passive,8.0,,Ninja Creami,,0.282051282051282,"QID9,QID8,QID52,QID42,QID19,QID53,QID54,QID27,QID59,QID55,QID44",433.0
14,T-shirt or swag giveaways,"Food Festivals ,Swag/giveaway events ,Concerts or live music ",,Sporting games,Aa bowl,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Performance",,"Mexican/Latin (tacos, burritos, empanadas),Asian (Chinese, Japanese, Korean, Thai, etc.),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese)",,Ha ahn,0.0,20.0,0.0,0.0,20.0,Yes,1000.0,"Weekday lunchtime (12–2pm),Saturday afternoons ,Saturday evenings ,Sunday afternoons ,Sunday evenings ",Large (80-150 people) , Require advance registration ,"Bad timing,Too crowded,Required registration",,"Monday,Wednesday ,Friday ,Saturday ,Sunday",Afternoon (12pm–4pm) ,Yes,,A week,"Email,Social media ",,Email,Senior,Biochem,Cincinnati,No,No ,No,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Food and market experiences (West Side Market, Little Italy, AsiaTown)",,Yes,,No,,,,,L,L,7.0,Hoodie or t shirt ,Passive,7.0,,Ninja Creami,,0.125,"QID52,QID19,QID27,QID59,QID44",365.0
15,"T-shirt or swag giveaways,UPBeat Spring Concert,Thwing Tuesday,Club collaborations (Mahjong, Quidditch, Learn to Be, etc.) ,Arts & Crafts (e.g., Brightening Blooms, UPBling)","Concerts or live music ,Major shows or performances (comedians, drone show, etc.) ,Sports/spectator events ",,Giveaways for Browns games,,"Free food/snacks,Performance,Live entertainment",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato)",,Daves Hot Chicken,10.0,50.0,350.0,350.0,10.0,Yes,400.0,"Weekday late afternoon (4–6pm) ,Weekday evening (after 6pm) ,Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday afternoons ","Gigantic (>1000 people),Huge (300-600 people),Large (80-150 people) ", Require advance registration ,"Didn’t hear about it,Event cost,Didn’t interest me",,"Wednesday ,Thursday ,Friday ,Saturday ,Sunday",Evening (4pm–8pm) ,Yes,,A week,"Email,Social media ",,Social media,Senior,Computer Science Finance,Columbus Ohio,Not really,More sporty events pickleball etc,Not really,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Museums and cultural centers (Cleveland Museum of Art, Rock Hall, Natural History Museum)",,Yes,,No,,,,,M,L,,Blankets hoodies sweatpants,Passive,7.0,,Ninja Creami,,0.15,"QID9,QID52,QID19,QID27,QID59,QID44",415.0
16,"T-shirt or swag giveaways,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),Off-campus trips (e.g., Topgolf, NBA/Cavs game, Columbus trip),UPBeat Spring Concert,Thwing Tuesday","Swag/giveaway events ,Off-campus experiences or trips ,Sports/spectator events ",,casino night,sports events guardians cavs browns,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Socializing/meeting new people ",,"American comfort (burgers, BBQ, wings),Italian (pasta, pizza, gelato),Asian (Chinese, Japanese, Korean, Thai, etc.)",,cilantro,5.0,5.0,10.0,10.0,5.0,Yes,10.0,"Weekday late afternoon (4–6pm) ,Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday afternoons ,Sunday evenings ",Large (80-150 people) , Require advance registration ,"Didn’t hear about it,Bad timing,Too crowded,Required registration,Event cost",,"Friday ,Saturday ","Evening (4pm–8pm) ,Night (after 8pm)",Yes,busy studying,Two weeks or more,"Email,Social media ",,"email
",Sophomore,electrical engineering,Mclean Virginia,,,,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Usually,,No,,"participating in events
",Other:,none,L,L,,gift cards appliances video game consoles,Passive,8.0,offer more free stuff,Ninja Creami,,0.0,,378.0
17,"Food Truck Festival,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),Off-campus trips (e.g., Topgolf, NBA/Cavs game, Columbus trip),Drone Show ,Thwing Tuesday","Swag/giveaway events ,Off-campus experiences or trips ,Concerts or live music ",,Drone show,Upb diamonds skii trip,"Free food/snacks,Socializing/meeting new people ,Live entertainment",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese),Indian/South Asian,Desserts/sweets focused",,Tacologist,10.0,30.0,400.0,400.0,100.0,Yes,500.0,"Weekday evening (after 6pm) ,Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday afternoons ,Sunday evenings ","Gigantic (>1000 people),Huge (300-600 people),Large (80-150 people) ", Require advance registration ,"Didn’t hear about it,Bad timing,Too crowded,Event cost,Didn’t interest me",,"Wednesday ,Friday ,Saturday ,Sunday","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ,Night (after 8pm)",Yes,Less time commitment,A week,"Email,Social media ,Posters/flyers ,Friends",,Email,Sophomore,Nursing,NJ,Ns,No,No,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Food and market experiences (West Side Market, Little Italy, AsiaTown),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park),Shopping/entertainment districts (Crocker Park, Pinecrest, Legacy Village)",,Yes,,No,,Friends,,,S,M,,Ninja creami speaker blender headphones apple watch,Passive,8.0,More fun activities,Ninja Creami,,0.05,"QID52,QID59",403.0
18,"T-shirt or swag giveaways,UPBeat Spring Concert","Concerts or live music ,Major shows or performances (comedians, drone show, etc.) ,Club or organization collaborations ",,,,"Performance,Live entertainment",,"Mexican/Latin (tacos, burritos, empanadas),Asian (Chinese, Japanese, Korean, Thai, etc.),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese)",,Swensons,5.0,,,,5.0,Yes,,"Weekday evening (after 6pm) ,Friday evenings,Saturday evenings ","Gigantic (>1000 people),Huge (300-600 people)",Walk-in Only (First come first serve),"Didn’t hear about it,Required registration,Have beef with UPB",,"Monday,Wednesday ,Friday ,Saturday ","Evening (4pm–8pm) ,Night (after 8pm)",No,,Two weeks or more,"Email,Friends",,I should probably follow UPB on instagram,Senior,Comp E,STL,Toasted Ravioli,Cycling riding bikes,,"Sports games (Guardians, Cavs, Browns, Monsters),Museums and cultural centers (Cleveland Museum of Art, Rock Hall, Natural History Museum)",,Yes,,No,,,Vegetarian,,L,L,11.5,A higherquality Tshirt as opposed to a cheaper hoodie The same goes for other larger apparel items Id love something I can use for a long time,Passive,8.0,Less events where you need to register in advance maybe those who do register in advance are rewarded for doing so,Ninja Creami,,0.1538461538461538,"QID9,QID8,QID15,QID27,QID59,QID55",480.0
19,I'm a freshman!,"Food Festivals ,Swag/giveaway events ,Concerts or live music ",,Music,Music ,"Swag (shirts, water bottles, etc.) ,Socializing/meeting new people ,Live entertainment",,"Asian (Chinese, Japanese, Korean, Thai, etc.)",,Mitchells ,10.0,10.0,0.0,0.0,10.0,Yes,20.0,"Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday afternoons ","Huge (300-600 people),Large (80-150 people) ,Medium (30-80 people)",Either is fine,Didn’t hear about it,,"Friday ,Saturday ,Sunday","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ,Night (after 8pm)",Yes,Lesso,A week,Social media ,,Emails,Freshman,Neuroscience ,New york,Chinese,Pickle ball,No,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Museums and cultural centers (Cleveland Museum of Art, Rock Hall, Natural History Museum),Food and market experiences (West Side Market, Little Italy, AsiaTown)",,Yes,,No,,Social,,,S,S,7.0,Hoodies,,,Social,Ninja Creami,No,0.0256410256410256,QID52,300.0
20,"Food Truck Festival,T-shirt or swag giveaways,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),Thwing Tuesday,Arts & Crafts (e.g., Brightening Blooms, UPBling)","Pop-up cafes (e.g., bakery, matcha) ,Arts & Crafts  ,Workshops/skill-building ",,The murder mystery events are really cool and really benefitted from Upb involvement,UPB bakery was really fun,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Live entertainment",,"American comfort (burgers, BBQ, wings),Italian (pasta, pizza, gelato),Asian (Chinese, Japanese, Korean, Thai, etc.),Desserts/sweets focused",,Not sure but the bakeries around campus are really good,0.0,0.0,0.0,0.0,0.0,Yes,,"Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday afternoons ,Sunday evenings ","Gigantic (>1000 people),Huge (300-600 people),Small (<20 people)", Require advance registration ,"Event cost,Travel time",,"Friday ,Saturday ,Sunday","Morning (8am–12pm) ,Afternoon (12pm–4pm) ,Evening (4pm–8pm) ",No,,A week,"Email,Posters/flyers ,Friends",,Email,Junior,Chemistry,Connecticut,Nope,Baking and mysteries,Nope,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Food and market experiences (West Side Market, Little Italy, AsiaTown),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Yes,,No,,Events with a lot of teamwork,,,M,M,7.0,Sweatshirts and sweatpants maybe cooking appliances like pots and pans or ninja products,Passive,8.0,Making sure theres enough swag or food for everyone who signed ip,Ninja Creami,Nope,0.0256410256410256,QID52,414.0
21,"Food Truck Festival,T-shirt or swag giveaways,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),Off-campus trips (e.g., Topgolf, NBA/Cavs game, Columbus trip),UPBeat Spring Concert,Spring Comedian at Severance Hall,Drone Show ,Thwing Tuesday","Swag/giveaway events ,Major shows or performances (comedians, drone show, etc.) ,Arts & Crafts  ",,Trip to cedar point,Spring comedian ,"Free food/snacks,Swag (shirts, water bottles, etc.) ",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Asian (Chinese, Japanese, Korean, Thai, etc.),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese),African/Caribbean",,Barrios,5.0,20.0,150.0,75.0,15.0,Yes,,"Weekday lunchtime (12–2pm),Weekday late afternoon (4–6pm) ,Weekday evening (after 6pm) ","Huge (300-600 people),Large (80-150 people) ,Medium (30-80 people)",Either is fine,"Didn’t hear about it,Bad timing,Too crowded,Event cost,Didn’t interest me",,"Monday,Wednesday ,Friday ",Afternoon (12pm–4pm) ,Yes,Less time,Two weeks or more,"Email,Friends",,Email,Senior,Mechanical and Aerospace Engineering ,New Jersey ,,Rock climbing ,Easter,"Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Usually,,No,,,Gluten Free,,M,M,,Hats blankets ,Passive,7.0,,Ninja Creami,,0.0975609756097561,"QID24,QID27,QID44,QID59",434.0
